OptionProfitRate,LongProfitRate,ShortProfitRate,LstmProfitRate,time
-0.020224823970198785,0.013536179713675893,-0.015751616468225624,-0.012696150169424714,2022-02-18 11:00:00
-0.020224823970198785,0.012534458776616257,-0.014721171034682297,-0.011671895191959668,2022-02-18 11:15:00
-0.020663843930971364,0.012520753071383494,-0.014707086830180433,-0.011657895555153354,2022-02-18 11:30:00
-0.020285633834237413,0.016044755644400964,-0.01834134268904603,-0.015270290450771851,2022-02-18 13:15:00
-0.020541629963496774,0.016008147460403948,-0.018303455210641733,-0.015232631282665955,2022-02-18 13:30:00
-0.020541629963496774,0.01700969966288815,-0.01934102595709288,-0.016263946510691355,2022-02-18 13:45:00
-0.021105790579595073,0.016339668444709823,-0.018646664377121362,-0.015573771953644358,2022-02-18 14:00:00
-0.023401835273784942,0.016863076248251858,-0.019188997321665402,-0.0161128348599885,2022-02-18 14:15:00
-0.023401835273784942,0.017262909624565892,-0.019603677359992768,-0.016525013363645872,2022-02-18 14:30:00
-0.022757982434645517,0.018980022576588547,-0.021388397927480523,-0.018298955925912862,2022-02-18 14:45:00
-0.021213198744435453,0.0201889053817401,-0.022648634685596206,-0.019551570534163773,2022-02-18 15:00:00
-0.03749982617954732,0.01581819127432634,-0.018106906204380883,-0.0150372665445634,2022-02-21 09:45:00
-0.03749982617954732,0.014968793465401229,-0.01722895671737557,-0.01791699557814149,2022-02-21 10:00:00
-0.0407236544679257,0.015733997307818583,-0.01801981440596488,-0.017151778967446532,2022-02-21 10:15:00
-0.0407236544679257,0.014308368343564725,-0.016547378852897487,-0.018577431727764247,2022-02-21 10:30:00
-0.04432360554001586,0.014272129506155086,-0.01651000578476562,-0.01861367117050124,2022-02-21 10:45:00
-0.04432360554001586,0.012947536908031704,-0.015145840551304218,-0.019938285909453932,2022-02-21 11:00:00
-0.04574261271922284,0.013294375986118592,-0.015502687202312328,-0.01959144103104827,2022-02-21 11:15:00
-0.046349112580847535,0.013844438007593406,-0.01606913580919116,-0.019041369814805954,2022-02-21 11:30:00
-0.04604871435726017,0.015441197863349576,-0.017717053345227177,-0.01744458329644613,2022-02-21 13:15:00
-0.04604871435726017,0.01623905481031779,-0.01854247900752618,-0.01664671304285175,2022-02-21 13:30:00
-0.04686625862050745,0.014619591594123394,-0.016868456311923373,-0.018266203279488726,2022-02-21 13:45:00
-0.04686625862050745,0.013111337621136927,-0.015314336221030376,-0.01977448245679767,2022-02-21 14:00:00
-0.047095924045869486,0.012678270609579226,-0.01486897800512325,-0.020207556712334557,2022-02-21 14:15:00
-0.04995707605667325,0.013991309770692378,-0.016220489970985366,-0.01889449559747242,2022-02-21 14:30:00
-0.04905551627363252,0.01549138393412273,-0.017768934042431152,-0.01739439638835884,2022-02-21 14:45:00
-0.04905551627363252,0.016540584557238676,-0.01885477677689976,-0.016345178269793873,2022-02-21 15:00:00
0.005246786813648686,0.005346420401978459,-0.00738796191848889,-0.027539530038284455,2022-02-22 09:45:00
0.028714234936339657,-0.0005779492126422156,-0.0014232300794554855,-0.033463999797983,2022-02-22 10:00:00
0.02455658141847977,0.00021913061723833195,-0.0022216206006626447,-0.032666906459760156,2022-02-22 10:15:00
0.026150094756991,-0.0003215650697435637,-0.0016798968637036647,-0.03320761130889333,2022-02-22 10:30:00
0.0256236962947576,-0.00018008762399962947,-0.0018215866728736735,-0.03306613146531905,2022-02-22 10:45:00
0.019390347077991796,0.0017926451178741766,-0.0038014693038810323,-0.031093365323907253,2022-02-22 11:00:00
0.0203652582104454,0.0014637865879666835,-0.003470874970130166,-0.031422229417009825,2022-02-22 11:15:00
0.025946382844719423,-8.3716065561473e-05,-0.0019181258663169183,-0.032969758273721984,2022-02-22 11:30:00
0.02979246703080727,-0.0015834246537004487,-0.00041791561627647764,-0.034469492294489326,2022-02-22 13:15:00
0.018476545347352765,0.0013767744534743602,-0.003383440025764992,-0.03150924302376472,2022-02-22 13:30:00
0.02330761966170913,0.00011547655657538054,-0.002117724019686932,-0.03277056227646942,2022-02-22 13:45:00
0.025594585029482975,-0.00039484863475734423,-0.001606519068697393,-0.03328089611608703,2022-02-22 14:00:00
0.024655533559472437,-0.0003532854740553111,-0.0016481343514863215,-0.03323933225086503,2022-02-22 14:15:00
0.026117129077458494,-0.000725877833541773,-0.0012751982718603358,-0.033611930927056305,2022-02-22 14:30:00
0.013206844811314525,0.0027270433575233904,-0.004741990609372218,-0.03015895128732141,2022-02-22 14:45:00
0.01025479211232937,0.0034609218274855597,-0.005481916015199089,-0.029425060420754875,2022-02-22 15:00:00
-0.0009525237928864691,0.006471704230717341,-0.008528959347401334,-0.026414227254794153,2022-02-23 09:45:00
0.0006665610972014356,0.005631730586179815,-0.0076770115810733995,-0.027576964408581022,2022-02-23 10:00:00
-0.004921387629408489,0.007551786637089633,-0.009626560298032326,-0.029497497634225087,2022-02-23 10:15:00
-0.0030745970317475678,0.006673696419388096,-0.008734046132134698,-0.028618273836672724,2022-02-23 10:30:00
-0.006168402964647692,0.008006794146090998,-0.010089664146840963,-0.029953700828850318,2022-02-23 10:45:00
-0.008255401311858344,0.009170890173602862,-0.011276412062156299,-0.031122750780798042,2022-02-23 11:00:00
-0.007622065032822447,0.008883214471852773,-0.01098287893338149,-0.03083359703555786,2022-02-23 11:15:00
-0.008060025482405113,0.009152372957578004,-0.011257512675127361,-0.031104133402348404,2022-02-23 11:30:00
-0.009805688351131452,0.011912460006663468,-0.014082388960860375,-0.03388679978208751,2022-02-23 13:15:00
-0.010788662367790124,0.01214726536569375,-0.014323435418753631,-0.034124239030444405,2022-02-23 13:30:00
-0.010555840498590034,0.01190579821133719,-0.01407555176889322,-0.03388006489476884,2022-02-23 13:45:00
-0.010555840498590034,0.011726498957993792,-0.013891566457701466,-0.0336988322902096,2022-02-23 14:00:00
-0.011005496639767728,0.01270860463201614,-0.01490016022142632,-0.03469232979087539,2022-02-23 14:15:00
-0.011952457947645902,0.012942442767710208,-0.015140601297243655,-0.03492916981806522,2022-02-23 14:30:00
-0.012055721927101568,0.013612738706502266,-0.015830456988992915,-0.03560868891321183,2022-02-23 14:45:00
-0.011658479266404877,0.014103885301193884,-0.016336531772836508,-0.03610717635242176,2022-02-23 15:00:00
0.0013287008656391473,0.006238508390092902,-0.008292294652134723,-0.028183096126344072,2022-02-24 09:45:00
-0.0011161402040456723,0.0092891659688136,-0.01139714560013237,-0.031241682660592508,2022-02-24 10:00:00
-0.004794337113187378,0.010664345789661243,-0.01280302264296544,-0.03262656458181526,2022-02-24 10:15:00
-0.0038393619579621292,0.008881212051226287,-0.010980836338841964,-0.030831584911182614,2022-02-24 10:30:00
-0.003007234489683415,0.009232183846914297,-0.011338975801084563,-0.031184380932882772,2022-02-24 10:45:00
-0.0010469609402063119,0.006824482218977584,-0.008887196463133587,-0.028769144446851077,2022-02-24 11:00:00
0.005862243480832727,0.004075666456204641,-0.006102566116152796,-0.02602591106400448,2022-02-24 11:15:00
0.013391976604436263,0.001139886782476416,-0.003145478535106759,-0.023112660082357517,2022-02-24 11:30:00
0.013391976604436263,-0.006104046418453215,0.004077131765903485,-0.015996584164871284,2022-02-24 13:15:00
0.014963198851097967,-0.004251010477520414,0.0022394782179626605,-0.01780720396215915,2022-02-24 13:30:00
0.014588510491775479,-0.006652262423214659,0.0046194987740735,-0.01546218657569066,2022-02-24 13:45:00
0.015118535156909073,-0.008328476120315202,0.006274166632943378,-0.013831805734898185,2022-02-24 14:00:00
0.015118535156909073,-0.011224045424217276,0.009119580759618837,-0.01102806377550495,2022-02-24 14:15:00
0.017299883435438243,-0.014834899339640295,0.012645116790683746,-0.007553998747513956,2022-02-24 14:30:00
0.02314238587966871,-0.005591926317068873,0.0035699407711605015,-0.01649631875461839,2022-02-24 14:45:00
0.024362783672091107,-0.006398846996330414,0.004368860587539663,-0.015709142470306754,2022-02-24 15:00:00
0.05689584354369667,0.004689159130636694,-0.006722717352353297,-0.02663685281402523,2022-02-25 09:45:00
0.06709503430332488,0.008967160172493023,-0.011068516243475813,-0.024357269276827555,2022-02-25 10:00:00
0.07241148084494624,0.010397702064309176,-0.012530121122001029,-0.022926719309205423,2022-02-25 10:15:00
0.06886850092480276,0.009088223710564891,-0.011192044939841604,-0.02423620505487102,2022-02-25 10:30:00
0.06569526660153767,0.0076772710235262715,-0.009754235080210196,-0.025647165717488325,2022-02-25 10:45:00
0.06579492301797796,0.007650946323364862,-0.009727448189415771,-0.025673490566560094,2022-02-25 11:00:00
0.05728676247895741,0.0032071693352519423,-0.005225949322308146,-0.030117292747975834,2022-02-25 11:15:00
0.05728676247895741,0.001376050782505313,-0.0033827129022823968,-0.03194842171457916,2022-02-25 11:30:00
0.055899483743138564,0.003773176193178458,-0.005797074196092398,-0.029551282674936303,2022-02-25 13:15:00
0.055899483743138564,0.0028532659808961297,-0.00486917563715288,-0.03047119811354894,2022-02-25 13:30:00
0.05555171576236665,0.0045074025163983605,-0.006538908273991047,-0.028817052183769697,2022-02-25 13:45:00
0.05555171576236665,0.00302772654109035,-0.005045019471061913,-0.030296736561814062,2022-02-25 14:00:00
0.05620813401497391,0.0018819663407559015,-0.0038912996463902937,-0.03144250327720135,2022-02-25 14:15:00
0.056321631554592584,0.0031077431348659275,-0.005125691114047284,-0.0302167195133246,2022-02-25 14:30:00
0.056321631554592584,0.0026302852509211324,-0.004644516574312236,-0.030694180111079016,2022-02-25 14:45:00
0.05564397037378824,0.0033015953714687807,-0.005321184062341041,-0.03002286617526022,2022-02-25 15:00:00
0.05564397037378824,-0.004945485591641354,0.002928983150034255,-0.03826999418719454,2022-02-28 09:45:00
0.05771975323078401,-0.002435785928088179,0.0004327281683461326,-0.035760280164944966,2022-02-28 10:00:00
0.0588909321895126,-0.0005665676139784235,-0.001434621432540711,-0.033891051179902834,2022-02-28 10:15:00
0.060910650507510676,-0.00016502071954894627,-0.0018366785575185912,-0.03348950199573721,2022-02-28 10:30:00
0.06052127838898482,-0.0016837902604433146,-0.0003176769730659606,-0.03500828020193347,2022-02-28 10:45:00
0.06052127838898482,-0.001992582694732198,-9.401224459747962e-06,-0.0353170743996404,2022-02-28 11:00:00
0.060174174386347534,-0.002963977610510603,0.0009591292539435053,-0.036288474866306965,2022-02-28 11:15:00
0.060174174386347534,-0.0003767908548253741,-0.001624599068651064,-0.03370127333847346,2022-02-28 11:30:00
0.05966567614256776,7.70289487906186e-05,-0.002079191937860641,-0.03324745094760473,2022-02-28 13:15:00
0.05966567614256776,0.00020319129341807697,-0.0022056425803923334,-0.03312128788392698,2022-02-28 13:30:00
0.05943911329426048,0.0006373482710988536,-0.002641035887735864,-0.032687128432503196,2022-02-28 13:45:00
0.05943911329426048,0.0029338877082199033,-0.004950428947417067,-0.030390575927992654,2022-02-28 14:00:00
0.058864202679034944,0.0017616931788574843,-0.0037703446970335903,-0.031562777123433354,2022-02-28 14:15:00
0.058878471121655125,0.0018269278754380204,-0.0038359455657957196,-0.0314975420556684,2022-02-28 14:30:00
0.058878471121655125,0.0033286257546615875,-0.005348449270526719,-0.029995835638498787,2022-02-28 14:45:00
0.05864862020697789,0.005099372649680223,-0.00713781024455631,-0.028225078692307226,2022-02-28 15:00:00
0.04240512402021682,0.009745558491069988,-0.01186329249736743,-0.023578866562543255,2022-03-01 09:45:00
0.04240512402021682,0.009228202156890701,-0.011334911371153746,-0.02409622581791345,2022-03-01 10:00:00
0.04121743015997009,0.008066416555597151,-0.010150378985596271,-0.02525801798460173,2022-03-01 10:15:00
0.04121743015997009,0.009347167344687081,-0.011456362777205435,-0.023977259958260652,2022-03-01 10:30:00
0.04097103559513845,0.008197891337878469,-0.010284288532803743,-0.025126542458957363,2022-03-01 10:45:00
