ProfitRate,Time
1.083941406,2022-03-22 14:30
1.083941406,2022-03-22 14:45
1.083941406,2022-03-22 15:00
1.083941406,2022-03-23 09:45
1.083941406,2022-03-23 10:00
1.083941406,2022-03-23 10:15
1.083941406,2022-03-23 10:30
1.083941406,2022-03-23 10:45
1.083941406,2022-03-23 11:00
1.083941406,2022-03-23 11:15
1.083205738,2022-03-23 11:30
1.06376487,2022-03-23 13:15
1.052857292,2022-03-23 13:30
1.052857292,2022-03-23 13:45
1.052215435,2022-03-23 14:00
1.051785944,2022-03-23 14:15
1.051127644,2022-03-23 14:30
1.05100773,2022-03-23 14:45
1.050944546,2022-03-23 15:00
0.994147304,2022-03-24 09:45
0.994147304,2022-03-24 10:00
0.994147304,2022-03-24 10:15
0.994147304,2022-03-24 10:30
0.994147304,2022-03-24 10:45
0.994147304,2022-03-24 11:00
0.994147304,2022-03-24 11:15
0.994147304,2022-03-24 11:30
0.994147304,2022-03-24 13:15
0.994147304,2022-03-24 13:30
0.994147304,2022-03-24 13:45
0.994147304,2022-03-24 14:00
0.993226775,2022-03-24 14:15
0.992681483,2022-03-24 14:30
0.992278149,2022-03-24 14:45
0.992919095,2022-03-24 15:00
0.98644433,2022-03-25 09:45
0.984963936,2022-03-25 10:00
0.985356047,2022-03-25 10:15
0.98574195,2022-03-25 10:30
0.984921814,2022-03-25 10:45
0.985395912,2022-03-25 11:00
0.989316421,2022-03-25 11:15
0.992679497,2022-03-25 11:30
1.003375828,2022-03-25 13:15
0.998451996,2022-03-25 13:30
1.005082822,2022-03-25 13:45
0.993140152,2022-03-25 14:00
0.99005587,2022-03-25 14:15
0.991589907,2022-03-25 14:30
0.996447157,2022-03-25 14:45
0.998688535,2022-03-25 15:00
1.078524758,2022-03-28 09:45
1.05706506,2022-03-28 10:00
1.032814977,2022-03-28 10:15
1.043915067,2022-03-28 10:30
1.034291856,2022-03-28 10:45
1.03368703,2022-03-28 11:00
1.030388892,2022-03-28 11:15
1.043548082,2022-03-28 11:30
1.038047046,2022-03-28 13:15
1.032726109,2022-03-28 13:30
1.040486169,2022-03-28 13:45
1.032461625,2022-03-28 14:00
1.038757523,2022-03-28 14:15
1.042519298,2022-03-28 14:30
1.03607108,2022-03-28 14:45
1.029901745,2022-03-28 15:00
1.019478415,2022-03-29 09:45
1.014902191,2022-03-29 10:00
1.028163851,2022-03-29 10:15
1.030823624,2022-03-29 10:30
1.028476037,2022-03-29 10:45
1.025328612,2022-03-29 11:00
1.028795402,2022-03-29 11:15
1.036490256,2022-03-29 11:30
1.034509388,2022-03-29 13:15
1.033439554,2022-03-29 13:30
1.030375552,2022-03-29 13:45
1.028441917,2022-03-29 14:00
1.035070044,2022-03-29 14:15
1.039715984,2022-03-29 14:30
1.040997435,2022-03-29 14:45
1.039373177,2022-03-29 15:00
1.014958734,2022-03-30 09:45
1.020785346,2022-03-30 10:00
1.015616199,2022-03-30 10:15
1.016309667,2022-03-30 10:30
1.013115779,2022-03-30 10:45
1.016111529,2022-03-30 11:00
1.014823033,2022-03-30 11:15
1.006267983,2022-03-30 11:30
1.007686048,2022-03-30 13:15
1.005349501,2022-03-30 13:30
1.004883678,2022-03-30 13:45
1.004158737,2022-03-30 14:00
1.00346568,2022-03-30 14:15
1.003357743,2022-03-30 14:30
1.00364423,2022-03-30 14:45
1.003713958,2022-03-30 15:00
0.994860197,2022-03-31 09:45
0.994595663,2022-03-31 10:00
0.993060592,2022-03-31 10:15
0.992457755,2022-03-31 10:30
0.991205404,2022-03-31 10:45
0.991170806,2022-03-31 11:00
0.99166372,2022-03-31 11:15
0.991061852,2022-03-31 11:30
0.991726033,2022-03-31 13:15
0.992532907,2022-03-31 13:30
0.990798114,2022-03-31 13:45
0.991134775,2022-03-31 14:00
0.989882831,2022-03-31 14:15
0.989747252,2022-03-31 14:30
0.990337284,2022-03-31 14:45
0.990334128,2022-03-31 15:00
0.987876575,2022-04-01 09:45
0.988296101,2022-04-01 10:00
0.991488185,2022-04-01 10:15
0.993802335,2022-04-01 10:30
0.999646836,2022-04-01 10:45
1.004563161,2022-04-01 11:00
1.004289317,2022-04-01 11:15
1.00099045,2022-04-01 11:30
0.999873463,2022-04-01 13:15
0.999351525,2022-04-01 13:30
0.999398476,2022-04-01 13:45
0.99929517,2022-04-01 14:00
0.999949512,2022-04-01 14:15
1.000147301,2022-04-01 14:30
1.000204733,2022-04-01 14:45
1.000812544,2022-04-01 15:00
0.945770423,2022-04-06 09:45
0.945770423,2022-04-06 10:00
0.945770423,2022-04-06 10:15
0.945770423,2022-04-06 10:30
0.945770423,2022-04-06 10:45
0.944750641,2022-04-06 11:00
0.943660939,2022-04-06 11:15
0.94248305,2022-04-06 11:30
0.942456662,2022-04-06 13:15
0.943043266,2022-04-06 13:30
0.944008351,2022-04-06 13:45
0.943064344,2022-04-06 14:00
0.943398247,2022-04-06 14:15
0.943453108,2022-04-06 14:30
0.943422892,2022-04-06 14:45
0.944277486,2022-04-06 15:00
0.939519617,2022-04-07 09:45
0.938619775,2022-04-07 10:00
0.938576796,2022-04-07 10:15
0.938083276,2022-04-07 10:30
0.937279254,2022-04-07 10:45
0.937362928,2022-04-07 11:00
0.937128953,2022-04-07 11:15
0.939106538,2022-04-07 11:30
0.939241296,2022-04-07 13:15
0.939215606,2022-04-07 13:30
0.938204995,2022-04-07 13:45
0.938833119,2022-04-07 14:00
0.939749879,2022-04-07 14:15
0.938396826,2022-04-07 14:30
0.939185817,2022-04-07 14:45
0.940038791,2022-04-07 15:00
0.925096752,2022-04-08 09:45
0.925096752,2022-04-08 10:00
0.927270437,2022-04-08 10:15
0.92816492,2022-04-08 10:30
0.92937091,2022-04-08 10:45
0.930163518,2022-04-08 11:00
0.930160342,2022-04-08 11:15
0.927917046,2022-04-08 11:30
0.922917535,2022-04-08 13:15
0.927703615,2022-04-08 13:30
0.926652659,2022-04-08 13:45
0.926995141,2022-04-08 14:00
0.925404975,2022-04-08 14:15
0.925836443,2022-04-08 14:30
0.925133474,2022-04-08 14:45
0.925179481,2022-04-08 15:00
0.954558952,2022-04-11 09:45
0.956551485,2022-04-11 10:00
0.959491701,2022-04-11 10:15
0.967821594,2022-04-11 10:30
0.968075566,2022-04-11 10:45
0.971144825,2022-04-11 11:00
0.968489733,2022-04-11 11:15
0.966863611,2022-04-11 11:30
0.972928339,2022-04-11 13:15
0.972994655,2022-04-11 13:30
0.973044892,2022-04-11 13:45
0.968499418,2022-04-11 14:00
0.97326053,2022-04-11 14:15
0.975427979,2022-04-11 14:30
0.976664651,2022-04-11 14:45
0.976284165,2022-04-11 15:00
0.969201521,2022-04-12 09:45
0.964007815,2022-04-12 10:00
0.959634332,2022-04-12 10:15
0.958213724,2022-04-12 10:30
0.96040578,2022-04-12 10:45
0.95705871,2022-04-12 11:00
0.957124208,2022-04-12 11:15
0.963484531,2022-04-12 11:30
0.949163344,2022-04-12 13:15
0.969829101,2022-04-12 13:30
0.970106957,2022-04-12 13:45
0.96939492,2022-04-12 14:00
0.968764617,2022-04-12 14:15
0.968452289,2022-04-12 14:30
0.969371914,2022-04-12 14:45
0.968613869,2022-04-12 15:00
0.96999722,2022-04-13 09:45
0.966221884,2022-04-13 10:00
0.966434657,2022-04-13 10:15
0.963489984,2022-04-13 10:30
0.964026778,2022-04-13 10:45
0.963507049,2022-04-13 11:00
0.963499491,2022-04-13 11:15
0.964818108,2022-04-13 11:30
0.963432812,2022-04-13 13:15
0.963060873,2022-04-13 13:30
0.963399237,2022-04-13 13:45
0.963860978,2022-04-13 14:00
0.9659244,2022-04-13 14:15
0.964856249,2022-04-13 14:30
0.966048872,2022-04-13 14:45
0.968736123,2022-04-13 15:00
0.96850983,2022-04-14 09:45
0.967535344,2022-04-14 10:00
0.969121405,2022-04-14 10:15
0.969140633,2022-04-14 10:30
0.971265359,2022-04-14 10:45
0.971297554,2022-04-14 11:00
0.97122435,2022-04-14 11:15
0.970046595,2022-04-14 11:30
0.968875426,2022-04-14 13:15
0.970600556,2022-04-14 13:30
0.972715763,2022-04-14 13:45
0.973224146,2022-04-14 14:00
0.972272473,2022-04-14 14:15
0.972030687,2022-04-14 14:30
0.970449671,2022-04-14 14:45
0.970138142,2022-04-14 15:00
0.969213911,2022-04-15 09:45
0.971300101,2022-04-15 10:00
0.970191033,2022-04-15 10:15
0.970169282,2022-04-15 10:30
0.969292133,2022-04-15 10:45
0.967175747,2022-04-15 11:00
0.968115536,2022-04-15 11:15
0.968154532,2022-04-15 11:30
0.970428758,2022-04-15 13:15
0.967761847,2022-04-15 13:30
0.96854441,2022-04-15 13:45
0.9681246,2022-04-15 14:00
0.967323714,2022-04-15 14:15
0.967367353,2022-04-15 14:30
0.967736532,2022-04-15 14:45
0.967753271,2022-04-15 15:00
0.964786024,2022-04-18 09:45
0.961653284,2022-04-18 10:00
0.962070977,2022-04-18 10:15
0.959562809,2022-04-18 10:30
0.956588781,2022-04-18 10:45
0.958525383,2022-04-18 11:00
0.960861778,2022-04-18 11:15
0.958845633,2022-04-18 11:30
0.958905,2022-04-18 13:15
0.957891791,2022-04-18 13:30
0.957451071,2022-04-18 13:45
0.957951733,2022-04-18 14:00
0.957846529,2022-04-18 14:15
0.958466471,2022-04-18 14:30
0.958448584,2022-04-18 14:45
0.956817755,2022-04-18 15:00
0.955770902,2022-04-19 09:45
0.961769124,2022-04-19 10:00
0.960600527,2022-04-19 10:15
0.960017506,2022-04-19 10:30
0.961157025,2022-04-19 10:45
0.960877827,2022-04-19 11:00
0.960960915,2022-04-19 11:15
0.960960915,2022-04-19 11:30
0.960960915,2022-04-19 13:15
0.960960915,2022-04-19 13:30
0.960960915,2022-04-19 13:45
0.960960915,2022-04-19 14:00
0.960960915,2022-04-19 14:15
0.96097733,2022-04-19 14:30
0.960269813,2022-04-19 14:45
0.962378786,2022-04-19 15:00
0.959090201,2022-04-20 09:45
0.962430195,2022-04-20 10:00
0.960566463,2022-04-20 10:15
0.960877407,2022-04-20 10:30
0.960319126,2022-04-20 10:45
0.961471487,2022-04-20 11:00
0.963724416,2022-04-20 11:15
0.962834552,2022-04-20 11:30
0.962615763,2022-04-20 13:15
0.963323082,2022-04-20 13:30
0.961812716,2022-04-20 13:45
0.962414426,2022-04-20 14:00
0.961204984,2022-04-20 14:15
0.962760407,2022-04-20 14:30
0.962725691,2022-04-20 14:45
0.961192571,2022-04-20 15:00
0.95154102,2022-04-21 09:45
0.953631028,2022-04-21 10:00
0.951026002,2022-04-21 10:15
0.953347983,2022-04-21 10:30
0.95104089,2022-04-21 10:45
0.950924312,2022-04-21 11:00
0.955540367,2022-04-21 11:15
