code,high,low,open,close,avg,vol,amount,time
300,4878.2006,4867.9749,4878.2006,4869.1876,4870.914413333334,9716634.0,15463431469.199999,2021-09-24 14:00:00
300,4870.8595,4863.422,4869.1876,4867.2139,4867.858040000001,8229823.0,13502853566.400003,2021-09-24 14:15:00
300,4867.2139,4858.7658,4867.2139,4861.1412,4862.045800000001,9448473.0,15212251620.699999,2021-09-24 14:30:00
300,4861.1816,4846.9636,4861.1412,4850.2246,4851.800613333334,12246088.0,19606148421.0,2021-09-24 14:45:00
300,4850.6943,4842.9409,4850.2246,4849.4277,4846.418466666667,14375064.0,23863898886.4,2021-09-24 15:00:00
300,4897.4819,4868.5147,4870.8482,4868.0973,4885.574953333333,43034201.0,82699834710.0,2021-09-27 09:45:00
300,4908.6086,4863.3747,4868.0973,4908.215,4891.044626666667,23880195.0,46894235205.0,2021-09-27 10:00:00
300,4922.5626,4904.499,4908.215,4907.2135,4913.820293333333,19333884.0,44695123074.0,2021-09-27 10:15:00
300,4911.5772,4885.2643,4907.2135,4887.5896,4897.089779999999,15101975.0,31560845311.0,2021-09-27 10:30:00
300,4912.7941,4883.3521,4887.5896,4912.4591,4897.759866666666,11236144.0,22015044721.0,2021-09-27 10:45:00
300,4917.0259,4906.5293,4912.4591,4906.8947,4911.390986666666,12326376.0,20526313771.0,2021-09-27 11:00:00
300,4912.3255,4888.0433,4906.8947,4887.9938,4901.02004,13196482.0,21600463398.0,2021-09-27 11:15:00
300,4887.9938,4857.5315,4887.9938,4861.3077,4870.74422,12387010.0,22500831891.0,2021-09-27 11:30:00
300,4868.6739,4852.1997,4861.3077,4867.3642,4860.818286666666,9529911.0,19647183478.8,2021-09-27 13:15:00
300,4882.19,4867.267,4867.3642,4875.8071,4874.021960000001,7885827.0,15266245394.3,2021-09-27 13:30:00
300,4887.655,4875.4319,4875.8071,4885.9397,4881.909740000002,6549482.0,13812844484.699997,2021-09-27 13:45:00
300,4892.2677,4878.3774,4885.9397,4891.1314,4885.183173333333,5544438.0,11940170422.400002,2021-09-27 14:00:00
300,4896.5586,4883.6538,4891.1314,4883.7686,4891.826666666667,6626620.0,14271792397.2,2021-09-27 14:15:00
300,4885.9085,4875.0327,4883.7686,4875.01,4881.97018,7476411.0,15701626506.4,2021-09-27 14:30:00
300,4875.195,4865.5884,4875.01,4872.9932,4870.160633333333,10377143.0,20579786307.0,2021-09-27 14:45:00
300,4876.6929,4871.8275,4872.9932,4877.3698,4874.232773333334,11422500.0,22233833840.0,2021-09-27 15:00:00
300,4869.0845,4846.6306,4869.0845,4854.7859,4856.405720000001,32112521.0,60821354232.0,2021-09-28 09:45:00
300,4879.298,4853.5869,4854.7859,4872.075,4870.776806666666,19010367.0,35813001253.0,2021-09-28 10:00:00
300,4897.8473,4872.075,4872.075,4892.5226,4889.5438466666665,13243626.0,29347198834.0,2021-09-28 10:15:00
300,4892.5226,4876.3964,4892.5226,4876.6166,4882.260773333333,10225571.0,20520372930.0,2021-09-28 10:30:00
300,4890.3512,4870.0617,4876.6166,4891.1882,4881.268013333334,9107287.0,17577940493.3,2021-09-28 10:45:00
300,4901.046,4891.1882,4891.1882,4895.8477,4895.4214999999995,9624133.0,16701203059.4,2021-09-28 11:00:00
300,4898.5275,4886.1912,4895.8477,4896.5089,4892.0541466666655,7290058.0,13301340556.599998,2021-09-28 11:15:00
300,4901.1047,4889.1253,4896.5089,4895.8287,4894.36562,7115977.0,11583227201.700003,2021-09-28 11:30:00
300,4897.8404,4883.7415,4895.8287,4886.6306,4889.792746666667,9022254.0,14727514377.400002,2021-09-28 13:15:00
300,4891.1597,4884.6374,4886.6306,4884.6065,4887.5841199999995,8413915.0,12916618908.0,2021-09-28 13:30:00
300,4890.7385,4881.5944,4884.6065,4888.5619,4886.650973333334,7858945.0,13148406605.300001,2021-09-28 13:45:00
300,4893.8907,4886.4132,4888.5619,4893.5585,4889.665513333334,8183798.0,12423578728.2,2021-09-28 14:00:00
300,4893.5585,4875.6848,4893.5585,4877.6847,4885.19446,7839655.0,13682286883.6,2021-09-28 14:15:00
300,4880.5641,4874.3339,4877.6847,4879.5164,4878.081300000001,6669437.0,13172498316.200003,2021-09-28 14:30:00
300,4882.9528,4874.86,4879.5164,4882.7902,4878.423786666667,8847871.0,15184180061.599998,2021-09-28 14:45:00
300,4885.7253,4881.5829,4882.7902,4883.828,4884.401400000001,12275379.0,20266094145.7,2021-09-28 15:00:00
300,4850.2356,4829.218,4846.0212,4829.9924,4836.356913333333,30341838.0,53261278532.0,2021-09-29 09:45:00
300,4830.4108,4813.3048,4829.9924,4817.6653,4820.874993333333,19787437.0,34912456317.0,2021-09-29 10:00:00
300,4828.4751,4809.6392,4817.6653,4825.6086,4821.23608,13853237.0,23490309943.0,2021-09-29 10:15:00
300,4852.8957,4817.3171,4825.6086,4852.2801,4834.709633333334,11194741.0,20953454645.0,2021-09-29 10:30:00
300,4852.2801,4826.174,4852.2801,4828.2449,4840.908880000001,12779632.0,21228274200.0,2021-09-29 10:45:00
300,4833.6952,4819.2616,4828.2449,4820.525,4825.74476,11287767.0,19546069919.3,2021-09-29 11:00:00
300,4825.0065,4799.877,4820.525,4817.3412,4811.088466666668,13735653.0,21261592045.0,2021-09-29 11:15:00
300,4835.5041,4816.8491,4817.3412,4828.4081,4825.72322,7461908.0,13432578830.999996,2021-09-29 11:30:00
300,4846.681,4827.8813,4828.4081,4839.597,4837.746193333333,8061287.0,14394802144.8,2021-09-29 13:15:00
300,4844.6574,4836.4965,4839.597,4839.9508,4840.490853333333,6820108.0,12632608474.699999,2021-09-29 13:30:00
300,4865.8503,4837.7192,4839.9508,4865.8733,4849.738506666667,8041701.0,15025303292.6,2021-09-29 13:45:00
300,4868.0678,4855.6419,4865.8733,4855.3644,4860.1083733333335,8001479.0,14743424557.099998,2021-09-29 14:00:00
300,4860.6696,4841.0682,4855.3644,4841.1553,4848.901153333333,6989858.0,13270530989.800001,2021-09-29 14:15:00
300,4848.499,4841.1553,4841.1553,4846.844,4845.125086666667,6948583.0,12775327917.399998,2021-09-29 14:30:00
300,4856.334,4839.002,4846.844,4838.4444,4848.555240000001,9658544.0,17503044156.2,2021-09-29 14:45:00
300,4846.419,4838.4444,4838.4444,4833.9281,4841.913246666667,13186248.0,23363304119.9,2021-09-29 15:00:00
300,4870.2414,4845.1189,4843.9531,4854.1561,4861.34932,24451670.0,47641600890.0,2021-09-30 09:45:00
300,4862.5568,4849.638,4854.1561,4864.0365,4856.665146666667,13775477.0,27684764581.0,2021-09-30 10:00:00
300,4865.0968,4854.4638,4864.0365,4854.1571,4858.856920000001,11303752.0,21591241470.0,2021-09-30 10:15:00
300,4867.8985,4853.6949,4854.1571,4867.2426,4863.024179999999,8235789.0,17474787005.0,2021-09-30 10:30:00
300,4867.2426,4859.7786,4867.2426,4864.6194,4863.602893333335,7792193.0,15086500081.0,2021-09-30 10:45:00
300,4867.8787,4857.5584,4864.6194,4862.4216,4863.595813333332,8719818.0,15411458996.800001,2021-09-30 11:00:00
300,4864.8694,4855.6411,4862.4216,4859.3769,4860.222533333334,7453999.0,14055689482.6,2021-09-30 11:15:00
300,4862.691,4856.1687,4859.3769,4858.5746,4859.8718733333335,5563640.0,11084767643.099998,2021-09-30 11:30:00
300,4870.1106,4858.3722,4858.5746,4864.9472,4865.775720000001,6276435.0,13879578392.399998,2021-09-30 13:15:00
300,4872.0963,4863.8117,4864.9472,4870.646,4868.876933333333,6391909.0,12658620306.400003,2021-09-30 13:30:00
300,4870.9895,4862.9549,4870.646,4868.1432,4867.257906666666,5989330.0,11890076911.4,2021-09-30 13:45:00
300,4870.0506,4867.0352,4868.1432,4869.3915,4868.821220000001,6014640.0,11539803920.8,2021-09-30 14:00:00
300,4875.0831,4866.5362,4869.3915,4875.2865,4870.911806666667,5906456.0,11316266125.0,2021-09-30 14:15:00
300,4876.0728,4868.1436,4875.2865,4869.9601,4872.39976,6140112.0,11936363779.5,2021-09-30 14:30:00
300,4870.1101,4865.4126,4869.9601,4865.924,4866.765613333334,8607165.0,15842319094.5,2021-09-30 14:45:00
300,4865.9762,4863.2296,4865.924,4866.3826,4864.9729400000015,13466294.0,24095670880.3,2021-09-30 15:00:00
300,4930.2697,4891.6249,4915.7305,4924.666,4910.716433333334,38238646.0,72886483093.0,2021-10-08 09:45:00
300,4936.9372,4921.4944,4924.666,4923.563,4927.312739999999,21803680.0,42267790751.0,2021-10-08 10:00:00
300,4933.1319,4918.9543,4923.563,4930.4538,4926.23084,14416120.0,30263167955.0,2021-10-08 10:15:00
300,4931.5924,4915.485,4930.4538,4920.7853,4923.5793066666665,12878996.0,26367115686.0,2021-10-08 10:30:00
300,4932.0241,4920.7853,4920.7853,4926.158,4926.775873333334,9766194.0,19306996557.6,2021-10-08 10:45:00
300,4935.1655,4926.158,4926.158,4931.8409,4931.77748,7013494.0,15568211605.7,2021-10-08 11:00:00
300,4935.5159,4928.407,4931.8409,4928.7012,4932.600439999999,6625635.0,15355637793.3,2021-10-08 11:15:00
300,4930.215,4916.1719,4928.7012,4917.9438,4922.386526666667,6197565.0,12307048090.300001,2021-10-08 11:30:00
300,4917.9438,4902.0309,4917.9438,4909.7072,4909.089333333333,7230169.0,15072674596.2,2021-10-08 13:15:00
300,4920.9409,4908.5995,4909.7072,4921.4143,4915.144086666667,5106853.0,11187532621.299997,2021-10-08 13:30:00
300,4931.5523,4921.3459,4921.4143,4929.2039,4926.91938,5565510.0,12384725524.9,2021-10-08 13:45:00
300,4933.3054,4926.9563,4929.2039,4928.4471,4930.127879999999,5163398.0,11795249593.400002,2021-10-08 14:00:00
300,4936.6654,4925.5837,4928.4471,4934.5994,4932.55218,5709409.0,11986076161.8,2021-10-08 14:15:00
300,4934.5994,4925.2598,4934.5994,4926.8948,4928.500539999999,5559058.0,11746107248.2,2021-10-08 14:30:00
300,4929.6042,4924.6309,4926.8948,4924.4925,4926.801346666668,7128590.0,14722148640.0,2021-10-08 14:45:00
300,4928.4367,4923.3435,4924.4925,4929.9409,4926.89998,10538829.0,20357425807.1,2021-10-08 15:00:00
300,4983.7294,4940.5877,4941.2918,4980.407,4967.495753333334,37722225.0,66346808372.0,2021-10-11 09:45:00
300,4980.407,4961.4872,4980.407,4961.2216,4968.67,21712966.0,42340486416.0,2021-10-11 10:00:00
300,4970.4331,4956.4022,4961.2216,4962.3808,4965.17834,13150803.0,28822641454.0,2021-10-11 10:15:00
300,4968.055,4959.9565,4962.3808,4959.8415,4964.030360000001,8493810.0,17910373615.0,2021-10-11 10:30:00
300,4959.8415,4947.2638,4959.8415,4958.9941,4952.637953333333,8136183.0,16429173377.5,2021-10-11 10:45:00
300,4960.0412,4948.9857,4958.9941,4955.4361,4954.448346666667,7014514.0,13211218638.1,2021-10-11 11:00:00
300,4955.4435,4944.2142,4955.4361,4949.2435,4948.18564,6369833.0,12190287326.0,2021-10-11 11:15:00
300,4953.7972,4945.9187,4949.2435,4953.0422,4949.72928,4505717.0,9139117693.5,2021-10-11 11:30:00
300,4962.0484,4953.0422,4953.0422,4958.0271,4959.310880000001,6793759.0,12759498490.699997,2021-10-11 13:15:00
300,4961.7393,4954.9402,4958.0271,4956.606,4958.839266666665,5786117.0,11522729461.800003,2021-10-11 13:30:00
